division,uslh_ind,state,avg_wcng_loss_ratio
21,0,AK,0.694529796
21,0,AL,0.777914662
21,0,AR,0.81148886
21,0,AZ,0.747355471
21,0,CA,0.695852522
21,0,CO,0.652016711
21,0,CT,0.758814507
21,0,DC,0.923140178
21,0,DE,0.744425047
21,0,FL,0.759488299
21,0,GA,0.693193721
21,0,HI,0.721371986
21,0,IA,0.745407216
21,0,ID,0.782687763
21,0,IL,0.70108083
21,0,IN,0.737946921
21,0,KS,0.759192529
21,0,KY,0.712175636
21,0,LA,0.720603198
21,0,MA,0.775712347
21,0,MD,0.736179868
21,0,ME,0.703087445
21,0,MI,0.753654199
21,0,MN,0.714750242
21,0,MO,0.699555612
21,0,MS,0.730432088
21,0,MT,0.731533129
21,0,NC,0.714790916
21,0,ND,0.730756286
21,0,NE,0.775479074
21,0,NH,0.733105002
21,0,NJ,0.714784102
21,0,NM,0.842816023
21,0,NV,0.756322524
21,0,NY,0.698293281
21,0,OH,0.742901324
21,0,OK,0.72080222
21,0,OR,0.784031731
21,0,PA,0.712692023
21,0,RI,0.759639709
21,0,SC,0.722097457
21,0,SD,0.647202276
21,0,TN,0.792533607
21,0,TX,0.711107889
21,0,UT,0.767736688
21,0,VA,0.785266688
21,0,VT,0.808217984
21,0,WA,0.688719954
21,0,WI,0.784320121
21,0,WV,0.681133817
21,0,WY,0.730854857
26,0,AK,0.776810556
26,0,AL,0.81361951
26,0,AR,0.789783846
26,0,AZ,0.764094745
26,0,CA,0.740600896
26,0,CO,0.748573644
26,0,CT,0.807513218
26,0,DC,0.934797166
26,0,DE,0.674782139
26,0,FL,0.756229717
26,0,GA,0.754049441
26,0,HI,0.640110086
26,0,IA,0.739880766
26,0,ID,0.768384995
26,0,IL,0.763256037
26,0,IN,0.820851145
26,0,KS,0.761453772
26,0,KY,0.754862415
26,0,LA,0.765193701
26,0,MA,0.763547575
26,0,MD,0.783729984
26,0,ME,0.711368453
26,0,MI,0.758517741
26,0,MN,0.78028825
26,0,MO,0.847435961
26,0,MS,0.766627012
26,0,MT,0.790832863
26,0,NC,0.780800914
26,0,ND,0.758641714
26,0,NE,0.685295289
26,0,NH,0.720862592
26,0,NJ,0.759126966
26,0,NM,0.804008773
26,0,NV,0.776998753
26,0,NY,0.776798985
26,0,OH,0.738947747
26,0,OK,0.766564077
26,0,OR,0.836679038
26,0,PA,0.77008405
26,0,RI,0.834938446
26,0,SC,0.805792234
26,0,SD,0.781272481
26,0,TN,0.806917188
26,0,TX,0.767320615
26,0,UT,0.770188717
26,0,VA,0.739948377
26,0,VT,0.722181939
26,0,WA,0.737683528
26,0,WI,0.787106802
26,0,WV,0.78309871
26,0,WY,0.743287723
27,0,AR,0.760112283
27,0,AZ,0.766072278
27,0,CA,0.706041998
27,0,CO,0.760112283
27,0,CT,
27,0,FL,0.813505653
27,0,GA,1.011188835
27,0,IA,
27,0,ID,0.760112283
27,0,IL,0.887556211
27,0,IN,0.891381776
27,0,KS,0.760112283
27,0,KY,0.887933869
27,0,LA,
27,0,MA,
27,0,MD,0.889448222
27,0,MI,0.892602829
27,0,MN,0.918996893
27,0,MO,0.766741141
27,0,MS,0.760112283
27,0,MT,0.918996893
27,0,NC,
27,0,NE,
27,0,NJ,0.833228471
27,0,NM,0.760112283
27,0,NV,0.779228884
27,0,NY,
27,0,OH,0.883674613
27,0,OK,0.760112283
27,0,OR,
27,0,PA,0.87679631
27,0,SC,
27,0,SD,0.760112283
27,0,TN,0.806511369
27,0,TX,0.915553947
27,0,UT,0.760112283
27,0,VA,0.89596544
27,0,WA,0.760112283
54,0,AK,0.664948896
54,0,AL,0.679074078
54,0,AR,0.766859194
54,0,AZ,0.697796775
54,0,CA,0.665177064
54,0,CO,0.693620318
54,0,CT,0.786913328
54,0,DC,0.612866998
54,0,DE,0.63574432
54,0,FL,0.747876118
54,0,GA,0.680906665
54,0,HI,0.744051683
54,0,IA,0.678155224
54,0,ID,0.690048424
54,0,IL,0.718082145
54,0,IN,0.697946603
54,0,KS,0.651841667
54,0,KY,0.764778904
54,0,LA,0.672228054
54,0,MA,0.825790552
54,0,MD,0.70353809
54,0,ME,0.684081146
54,0,MI,0.677616476
54,0,MN,0.686841651
54,0,MO,0.736353226
54,0,MS,0.692999484
54,0,MT,0.609966384
54,0,NC,0.65940636
54,0,ND,0.684333
54,0,NE,0.75341104
54,0,NH,0.768727963
54,0,NJ,0.719360502
54,0,NM,0.686359472
54,0,NV,0.727654084
54,0,NY,0.737637366
54,0,OH,0.731212862
54,0,OK,0.709499487
54,0,OR,0.653482503
54,0,PA,0.695747743
54,0,RI,0.793506427
54,0,SC,0.647074587
54,0,SD,0.725629694
54,0,TN,0.674633637
54,0,TX,0.687697018
54,0,UT,0.682218482
54,0,VA,0.752998937
54,0,VT,0.771104327
54,0,WA,0.813640395
54,0,WI,0.697781532
54,0,WV,0.808402848
54,0,WY,0.727019964
55,0,AK,0.5823537
55,0,AL,0.729917744
55,0,AR,0.762474354
55,0,AZ,0.759074417
55,0,CA,0.623226792
55,0,CO,0.540765183
55,0,CT,0.612316242
55,0,DC,0.752149073
55,0,DE,0.586598535
55,0,FL,0.956338928
55,0,GA,0.977153521
55,0,HI,0.5823537
55,0,IA,0.682035094
55,0,ID,0.606555715
55,0,IL,0.739086096
55,0,IN,0.704158687
55,0,KS,0.639149858
55,0,KY,0.652315642
55,0,LA,0.806037026
55,0,MA,0.647061262
55,0,MD,0.84250369
55,0,ME,0.630473748
55,0,MI,0.6206126
55,0,MN,0.634787677
55,0,MO,0.731851994
55,0,MS,0.5823537
55,0,MT,0.5823537
55,0,NC,0.782893532
55,0,ND,0.847482276
55,0,NE,0.604721073
55,0,NH,0.5823537
55,0,NJ,0.746259629
55,0,NM,0.598779308
55,0,NV,0.595681063
55,0,NY,0.570177721
55,0,OH,0.911278443
55,0,OK,0.589579441
55,0,OR,0.65559881
55,0,PA,0.619346396
55,0,RI,0.5823537
55,0,SC,0.673445759
55,0,SD,0.5823537
55,0,TN,0.71413599
55,0,TX,0.652812786
55,0,UT,0.587497643
55,0,VA,0.750574475
55,0,VT,0.629983761
55,0,WA,0.845914331
55,0,WI,0.761315891
55,0,WV,0.80613687
55,0,WY,0.828575397
59,0,AK,0.694529796
59,0,AL,0.777914662
59,0,AR,0.81148886
59,0,AZ,0.747355471
59,0,CA,0.695852522
59,0,CO,0.652016711
59,0,CT,0.758814507
59,0,DC,0.923140178
59,0,DE,0.744425047
59,0,FL,0.759488299
59,0,GA,0.693193721
59,0,HI,0.721371986
59,0,IA,0.745407216
59,0,ID,0.782687763
59,0,IL,0.70108083
59,0,IN,0.737946921
59,0,KS,0.759192529
59,0,KY,0.712175636
59,0,LA,0.720603198
59,0,MA,0.775712347
59,0,MD,0.736179868
59,0,ME,0.703087445
59,0,MI,0.753654199
59,0,MN,0.714750242
59,0,MO,0.699555612
59,0,MS,0.730432088
59,0,MT,0.731533129
59,0,NC,0.714790916
59,0,ND,0.730756286
59,0,NE,0.775479074
59,0,NH,0.733105002
59,0,NJ,0.714784102
59,0,NM,0.842816023
59,0,NV,0.756322524
59,0,NY,0.698293281
59,0,OH,0.742901324
59,0,OK,0.72080222
59,0,OR,0.784031731
59,0,PA,0.712692023
59,0,RI,0.759639709
59,0,SC,0.722097457
59,0,SD,0.647202276
59,0,TN,0.792533607
59,0,TX,0.711107889
59,0,UT,0.767736688
59,0,VA,0.785266688
59,0,VT,0.808217984
59,0,WA,0.688719954
59,0,WI,0.784320121
59,0,WV,0.681133817
59,0,WY,0.730854857
82,0,AK,0.720826845
82,0,AL,0.634180382
82,0,AR,0.663458216
82,0,AZ,0.756164479
82,0,CA,0.740097016
82,0,CO,0.69260496
82,0,CT,0.837488251
82,0,DC,0.689776751
82,0,DE,0.802328558
82,0,FL,0.790674233
82,0,GA,0.730631788
82,0,HI,0.613284156
82,0,IA,0.731363975
82,0,ID,0.752122143
82,0,IL,0.721511409
82,0,IN,0.657260498
82,0,KS,0.70553979
82,0,KY,0.701849694
82,0,LA,0.722653191
82,0,MA,0.696961535
82,0,MD,0.757127568
82,0,ME,0.597432155
82,0,MI,0.758212867
82,0,MN,0.670906979
82,0,MO,0.771560808
82,0,MS,0.700835424
82,0,MT,0.796545455
82,0,NC,0.764352989
82,0,ND,0.713187681
82,0,NE,0.613975198
82,0,NH,0.747241014
82,0,NJ,0.741508853
82,0,NM,0.627132498
82,0,NV,0.783729355
82,0,NY,0.724313085
82,0,OH,0.733942171
82,0,OK,0.725283284
82,0,OR,0.69790762
82,0,PA,0.769881691
82,0,RI,0.734157837
82,0,SC,0.681643548
82,0,SD,0.741256646
82,0,TN,0.70860978
82,0,TX,0.734978106
82,0,UT,0.722871333
82,0,VA,0.706134168
82,0,VT,0.910459149
82,0,WA,0.809335947
82,0,WI,0.674159092
82,0,WV,0.624178563
82,0,WY,0.780356977
89,0,AL,0.707313704
89,0,AR,0.619026052
89,0,AZ,0.655342841
89,0,CA,0.707661316
89,0,CO,0.689517272
89,0,CT,0.745014494
89,0,DC,
89,0,DE,0.765008943
89,0,FL,0.718725223
89,0,GA,0.660234243
89,0,IA,
89,0,ID,0.720725842
89,0,IL,0.685532081
89,0,IN,0.832963594
89,0,KS,0.711194615
89,0,KY,0.865593841
89,0,LA,0.757281745
89,0,MA,0.719841649
89,0,MD,0.68032938
89,0,MI,0.759377758
89,0,MO,0.722015206
89,0,MS,0.773080335
89,0,NC,0.666742339
89,0,ND,0.798513079
89,0,NE,0.75391358
89,0,NH,0.629337008
89,0,NJ,0.732087632
89,0,NM,0.758063692
89,0,NV,0.801803929
89,0,NY,0.707683486
89,0,OH,0.743686064
89,0,OK,0.758995202
89,0,OR,1.038533931
89,0,PA,0.699467032
89,0,SC,0.72691464
89,0,TN,0.781213477
89,0,TX,0.734489786
89,0,UT,0.734014805
89,0,VA,0.767550208
89,0,VT,0.974901145
89,0,WA,0.813471785
89,0,WI,0.891408839
89,0,WV,0.754532779
89,0,WY,0.800488717
97,0,AK,0.82946609
97,0,AL,0.82946609
97,0,AR,0.82946609
97,0,AZ,0.82946609
97,0,CA,0.82946609
97,0,CO,0.82946609
97,0,CT,0.82946609
97,0,DC,0.82946609
97,0,DE,0.82946609
97,0,FL,0.82946609
97,0,GA,0.82946609
97,0,HI,0.82946609
97,0,IA,0.82946609
97,0,ID,0.82946609
97,0,IL,0.82946609
97,0,IN,0.82946609
97,0,KS,0.82946609
97,0,KY,0.82946609
97,0,LA,0.82946609
97,0,MA,0.82946609
97,0,MD,0.82946609
97,0,ME,0.82946609
97,0,MI,0.82946609
97,0,MN,0.82946609
97,0,MO,0.82946609
97,0,MS,0.82946609
97,0,MT,0.82946609
97,0,NC,0.82946609
97,0,ND,0.82946609
97,0,NE,0.82946609
97,0,NH,0.82946609
97,0,NJ,0.82946609
97,0,NM,0.82946609
97,0,NV,0.82946609
97,0,NY,0.82946609
97,0,OH,0.82946609
97,0,OK,0.82946609
97,0,OR,0.82946609
97,0,PA,0.82946609
97,0,RI,0.82946609
97,0,SC,0.82946609
97,0,SD,0.82946609
97,0,TN,0.82946609
97,0,TX,0.82946609
97,0,UT,0.82946609
97,0,VA,0.82946609
97,0,VT,0.82946609
97,0,WA,0.82946609
97,0,WI,0.82946609
97,0,WV,0.82946609
97,0,WY,0.82946609
58,0,AK,0.82395393
58,0,AL,0.818588572
58,0,AR,0.77883032
58,0,AZ,0.854452046
58,0,CA,0.788108262
58,0,CO,0.597823649
58,0,CT,0.786745973
58,0,DC,0.830142384
58,0,DE,0.774357761
58,0,FL,0.84810431
58,0,GA,0.807824497
58,0,HI,0.877834645
58,0,IA,0.884883875
58,0,ID,0.767709099
58,0,IL,0.743521257
58,0,IN,0.806182317
58,0,KS,0.78894523
58,0,KY,0.799659124
58,0,LA,0.728071178
58,0,MA,0.784534706
58,0,MD,0.737314569
58,0,ME,0.638877903
58,0,MI,0.804180363
58,0,MN,0.911309375
58,0,MO,0.779051695
58,0,MS,0.770423014
58,0,MT,0.895719071
58,0,NC,0.776531418
58,0,ND,0.689351717
58,0,NE,0.856967739
58,0,NH,0.722592451
58,0,NJ,0.758462147
58,0,NM,0.748944884
58,0,NV,0.850290083
58,0,NY,0.74503467
58,0,OH,0.69878932
58,0,OK,0.779480688
58,0,OR,0.760319032
58,0,PA,0.783677609
58,0,RI,0.821820574
58,0,SC,0.789111296
58,0,SD,0.796831367
58,0,TN,0.854406951
58,0,TX,0.772998711
58,0,UT,0.734042306
58,0,VA,0.792418795
58,0,VT,0.812553139
58,0,WA,0.696696769
58,0,WI,0.769564616
58,0,WV,0.720316497
58,0,WY,0.672824231
58,1,AK,0.750695754
58,1,AL,0.886649397
58,1,AR,0.763269404
58,1,AZ,0.745535709
58,1,CA,0.742498104
58,1,CO,0.661209234
58,1,CT,0.744063757
58,1,DC,0.765473048
58,1,DE,0.863251822
58,1,FL,0.793184537
58,1,GA,0.80370191
58,1,HI,0.700784527
58,1,IA,0.715685781
58,1,ID,0.748175732
58,1,IL,0.736557396
58,1,IN,0.67870834
58,1,KS,0.704224463
58,1,KY,0.763298607
58,1,LA,0.73265532
58,1,MA,0.839880096
58,1,MD,0.798612119
58,1,ME,0.896892662
58,1,MI,0.732480583
58,1,MN,0.71733933
58,1,MO,0.785746689
58,1,MS,0.693813078
58,1,MT,0.749416552
58,1,NC,0.821590992
58,1,ND,0.682835209
58,1,NE,0.670267687
58,1,NH,0.737376862
58,1,NJ,0.783097546
58,1,NM,0.694753969
58,1,NV,0.734114149
58,1,NY,0.789308104
58,1,OH,0.70562732
58,1,OK,0.713539114
58,1,OR,0.773177132
58,1,PA,0.78309775
58,1,RI,0.720585036
58,1,SC,0.827304508
58,1,SD,0.815396633
58,1,TN,0.741931307
58,1,TX,0.791028172
58,1,UT,0.880791178
58,1,VA,0.767942612
58,1,VT,0.741021233
58,1,WA,0.85718839
58,1,WI,0.733165573
58,1,WV,0.830232937
58,1,WY,0.643557883
